,Title,Published_date,Views,Likes,Comments,Month
73,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,22554,705,326,Dec
74,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),2020-11-20,24218,756,166,Nov
75,6 Lessons from #66DaysOfData,2020-11-13,6587,339,95,Nov
76,100K Channel Update + AMA Stream!,2020-11-12,2314,128,24,Nov
77,Find a Data Science Project With These 3 Techniques,2020-11-06,15206,654,101,Nov
78,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,23161,614,154,Oct
79,git for Data Science Made Simple... (Hopefully),2020-10-23,16101,767,92,Oct
80,The PODCAST you might have asked for?,2020-10-19,2008,94,44,Oct
81,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6536,443,113,Oct
82,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,12194,365,48,Oct
83,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,5976,131,62,Oct
84,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,9110,493,81,Oct
85,Sh*t Data Scientists Say (Parody),2020-10-05,9066,571,142,Oct
86,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8444,363,93,Oct
87,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,6917,284,61,Sep
88,Data Science Resume Round-Up With @Tina Huang  - Episode 1,2020-09-28,10634,279,69,Sep
89,5 Essential Data Science Projects for Your Portfolio,2020-09-26,66428,2936,204,Sep
90,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5022,191,66,Sep
91,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,9892,401,58,Sep
92,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7190,249,34,Sep
93,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5019,191,56,Sep
94,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,3967,153,35,Sep
95,The 5 Pillars of Success I Live By,2020-09-11,9975,870,153,Sep
96,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1865,77,25,Sep
97,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3841,157,43,Sep
98,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11261,722,145,Sep
99,How She Dominated the FAANG Data Science Interview  (@Tina Huang ) - KNN EP. 11,2020-09-02,17415,561,89,Sep
100,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,16401,766,93,Aug
